SensorA,Control
0.041018,11
0.0348182,11
0.0286184,11
0.0224186,11
0.0162188,11
0.010019,11
0.0038192,11
-0.0023806,11
-0.0085804,11
-0.0147802,11
-0.02098,11
-0.0178559,11
-0.0147318,11
-0.0116077,11
-0.0084836,11
-0.0053595,11
-0.0022354,11
0.0008887,11
0.0040128,11
0.0071369,11
0.010261,11
0.0099711,11
0.0096812,11
0.0093913,11
0.0091014,11
0.0088115,11
0.0085216,11
0.0082317,11
0.0079418,11
0.0076519,11
0.007362,11
0.0354141,11
0.0634662,11
0.0915183,11
0.1195704,11
0.1476225,11
0.1756746,11
0.2037267,11
0.2317788,11
0.2598309,11
0.287883,11
0.2943405,11
0.300798,11
0.3072555,11
0.313713,11
0.3201705,11
0.326628,11
0.3330855,11
0.339543,11
0.3460005,11
0.352458,11
0.3511053,11
0.3497526,11
0.3483999,11
0.3470472,11
0.3456945,11
0.3443418,11
0.3429891,11
0.3416364,11
0.3402837,11
0.338931,11
0.3128274,11
0.2867238,11
0.2606202,11
0.2345166,11
0.208413,11
0.1823094,11
0.1562058,11
0.1301022,11
0.1039986,11
0.077895,11
0.0985879,11
0.1192808,11
0.1399737,11
0.1606666,11
0.1813595,11
0.2020524,11
0.2227453,11
0.2434382,11
0.2641311,11
0.284824,11
0.2652583,11
0.2456926,11
0.2261269,11
0.2065612,11
0.1869955,11
0.1674298,11
0.1478641,11
0.1282984,11
0.1087327,11
0.089167,11
0.0921462,11
0.0951254,11
0.0981046,11
0.1010838,11
0.104063,11
0.1070422,11
0.1100214,11
0.1130006,11
0.1159798,11
0.118959,11
0.1369143,11
0.1548696,11
0.1728249,11
0.1907802,11
0.2087355,11
0.2266908,11
0.2446461,11
0.2626014,11
0.2805567,11
0.298512,11
0.2724567,11
0.2464014,11
0.2203461,11
0.1942908,11
0.1682355,11
0.1421802,11
0.1161249,11
0.0900696,11
0.0640143,11
0.037959,11
0.0623556,11
0.0867522,11
0.1111488,11
0.1355454,11
0.159942,11
0.1843386,11
0.2087352,11
0.2331318,11
0.2575284,11
0.281925,11
0.2599922,11
0.2380594,11
0.2161266,11
0.1941938,11
0.172261,11
0.1503282,11
0.1283954,11
0.1064626,11
0.0845298,11
0.062597,11
0.0668,11
0.071003,11
0.075206,11
0.079409,11
0.083612,11
0.087815,11
0.092018,11
0.096221,11
0.100424,11
0.104627,11
0.1125981,11
0.1205692,11
0.1285403,11
0.1365114,11
0.1444825,11
0.1524536,11
0.1604247,11
0.1683958,11
0.1763669,11
0.184338,11
0.1497642,11
0.1151904,11
0.0806166,11
0.0460428,11
0.011469,11
-0.0231048,11
-0.0576786,11
-0.0922524,11
-0.1268262,11
-0.1614,11
-0.147438,11
-0.133476,11
-0.119514,11
-0.105552,11
-0.09159,11
-0.077628,11
-0.063666,11
-0.049704,11
-0.035742,11
-0.02178,11
-0.019816,11
-0.017852,11
-0.015888,11
-0.013924,11
-0.01196,11
-0.009996,11
-0.008032,11
-0.006068,11
-0.004104,11
-0.00214,11
-0.004539,11
-0.006938,11
-0.009337,11
-0.011736,11
-0.014135,11
-0.016534,11
-0.018933,11
-0.021332,11
-0.023731,11
-0.02613,11
-0.0224265,11
-0.018723,11
-0.0150195,11
-0.011316,11
-0.0076125,11
-0.003909,11
-0.0002055,11
0.003498,11
0.0072015,11
0.010905,11
0.0081835,11
0.005462,11
0.0027405,11
1.9E-05,11
-0.0027025,11
-0.005424,11
-0.0081455,11
-0.010867,11
-0.0135885,11
-0.01631,11
-0.049225,11
-0.08214,11
-0.115055,11
-0.14797,11
-0.180885,11
-0.2138,11
-0.246715,11
-0.27963,11
-0.312545,11
-0.34546,11
-0.329614,11
-0.313768,11
-0.297922,11
-0.282076,11
-0.26623,11
-0.250384,11
-0.234538,11
-0.218692,11
-0.202846,11
-0.187,11
-0.191091,11
-0.195182,11
-0.199273,11
-0.203364,11
-0.207455,11
-0.211546,11
-0.215637,11
-0.219728,11
-0.223819,11
-0.22791,11
-0.223691,11
-0.219472,11
-0.215253,11
-0.211034,11
-0.206815,11
-0.202596,11
-0.198377,11
-0.194158,11
-0.189939,11
-0.18572,11
-0.1671042,11
-0.1484884,11
-0.1298726,11
-0.1112568,11
-0.092641,11
-0.0740252,11
-0.0554094,11
-0.0367936,11
-0.0181778,11
0.000438,11
-0.0226868,11
-0.0458116,11
-0.0689364,11
-0.0920612,11
-0.115186,11
-0.1383108,11
-0.1614356,11
-0.1845604,11
-0.2076852,11
-0.23081,11
-0.215769,11
-0.200728,11
-0.185687,11
-0.170646,11
-0.155605,11
-0.140564,11
-0.125523,11
-0.110482,11
-0.095441,11
-0.0804,11
-0.099048,11
-0.117696,11
-0.136344,11
-0.154992,11
-0.17364,11
-0.192288,11
-0.210936,11
-0.229584,11
-0.248232,11
-0.26688,11
-0.275624,11
-0.284368,11
-0.293112,11
-0.301856,11
-0.3106,11
-0.319344,11
-0.328088,11
-0.336832,11
-0.345576,11
-0.35432,11
-0.328136,11
-0.301952,11
-0.275768,11
-0.249584,11
-0.2234,11
-0.197216,11
-0.171032,11
-0.144848,11
-0.118664,11
-0.09248,11
-0.116812,11
-0.141144,11
-0.165476,11
-0.189808,11
-0.21414,11
-0.238472,11
-0.262804,11
-0.287136,11
-0.311468,11
-0.3358,11
-0.310582,11
-0.285364,11
-0.260146,11
-0.234928,11
-0.20971,11
-0.184492,11
-0.159274,11
-0.134056,11
-0.108838,11
-0.08362,11
-0.091768,11
-0.099916,11
-0.108064,11
-0.116212,11
-0.12436,11
-0.132508,11
-0.140656,11
-0.148804,11
-0.156952,11
-0.1651,11
-0.1476122,11
-0.1301244,11
-0.1126366,11
-0.0951488,11
-0.077661,11
-0.0601732,11
-0.0426854,11
-0.0251976,11
-0.0077098,11
0.009778,11
0.0195849,11
0.0293918,11
0.0391987,11
0.0490056,11
0.0588125,11
0.0686194,11
0.0784263,11
0.0882332,11
0.0980401,11
0.107847,11
0.0964623,11
0.0850776,11
0.0736929,11
0.0623082,11
0.0509235,11
0.0395388,11
0.0281541,11
0.0167694,11
0.0053847,11
-0.006,11
-0.005952,11
-0.005904,11
-0.005856,11
-0.005808,11
-0.00576,11
-0.005712,11
-0.005664,11
-0.005616,11
-0.005568,11
-0.00552,11
-0.0043445,11
-0.003169,11
-0.0019935,11
-0.000818,11
0.0003575,11
0.001533,11
0.0027085,11
0.003884,11
0.0050595,11
0.006235,11
0.0049465,11
0.003658,11
0.0023695,11
0.001081,11
-0.0002075,11
-0.001496,11
-0.0027845,11
-0.004073,11
-0.0053615,11
-0.00665,11
-0.0036223,11
-0.0005946,11
0.0024331,11
0.0054608,11
0.0084885,11
0.0115162,11
0.0145439,11
0.0175716,11
0.0205993,11
0.023627,11
0.063644,11
0.103661,11
0.143678,11
0.183695,11
0.223712,11
0.263729,11
0.303746,11
0.343763,11
0.38378,11
0.423797,11
0.4033939,11
0.3829908,11
0.3625877,11
0.3421846,11
0.3217815,11
0.3013784,11
0.2809753,11
0.2605722,11
0.2401691,11
0.219766,11
0.2240012,11
0.2282364,11
0.2324716,11
0.2367068,11
0.240942,11
0.2451772,11
0.2494124,11
0.2536476,11
0.2578828,11
0.262118,11
0.25558,11
0.249042,11
0.242504,11
0.235966,11
0.229428,11
0.22289,11
0.216352,11
0.209814,11
0.203276,11
0.196738,11
0.1763512,11
0.1559644,11
0.1355776,11
0.1151908,11
0.094804,11
0.0744172,11
0.0540304,11
0.0336436,11
0.0132568,11
-0.00713,11
0.0216789,11
0.0504878,11
0.0792967,11
0.1081056,11
0.1369145,11
0.1657234,11
0.1945323,11
0.2233412,11
0.2521501,11
0.280959,11
0.2644047,11
0.2478504,11
0.2312961,11
0.2147418,11
0.1981875,11
0.1816332,11
0.1650789,11
0.1485246,11
0.1319703,11
0.115416,11
0.1294743,11
0.1435326,11
0.1575909,11
0.1716492,11
0.1857075,11
0.1997658,11
0.2138241,11
0.2278824,11
0.2419407,11
0.255999,11
0.2530842,11
0.2501694,11
0.2472546,11
0.2443398,11
0.241425,11
0.2385102,11
0.2355954,11
0.2326806,11
0.2297658,11
0.226851,11
0.2079618,11
0.1890726,11
0.1701834,11
0.1512942,11
0.132405,11
0.1135158,11
0.0946266,11
0.0757374,11
0.0568482,11
0.037959,11
0.0551735,11
0.072388,11
0.0896025,11
0.106817,11
0.1240315,11
0.141246,11
0.1584605,11
0.175675,11
0.1928895,11
0.210104,11
0.1942261,11
0.1783482,11
0.1624703,11
0.1465924,11
0.1307145,11
0.1148366,11
0.0989587,11
0.0830808,11
0.0672029,11
0.051325,11
0.0374435,11
0.023562,11
0.0096805,11
-0.004201,11
-0.0180825,11
-0.031964,11
-0.0458455,11
-0.059727,11
-0.0736085,11
-0.08749,11
-0.079937,11
-0.072384,11
-0.064831,11
-0.057278,11
-0.049725,11
-0.042172,11
-0.034619,11
-0.027066,11
-0.019513,11
-0.01196,11
-0.01903,11
-0.0261,11
-0.03317,11
-0.04024,11
-0.04731,11
-0.05438,11
-0.06145,11
-0.06852,11
-0.07559,11
-0.08266,11
-0.0742536,11
-0.0658472,11
-0.0574408,11
-0.0490344,11
-0.040628,11
-0.0322216,11
-0.0238152,11
-0.0154088,11
-0.0070024,11
0.001404,11
0.0021609,11
0.0029178,11
0.0036747,11
0.0044316,11
0.0051885,11
0.0059454,11
0.0067023,11
0.0074592,11
0.0082161,11
0.008973,11
0.0066537,11
0.0043344,11
0.0020151,11
-0.0003042,11
-0.0026235,11
-0.0049428,11
-0.0072621,11
-0.0095814,11
-0.0119007,11
-0.01422,11
-0.02831,11
-0.0424,11
-0.05649,11
-0.07058,11
-0.08467,11
-0.09876,11
-0.11285,11
-0.12694,11
-0.14103,11
-0.15512,11
-0.164331,11
-0.173542,11
-0.182753,11
-0.191964,11
-0.201175,11
-0.210386,11
-0.219597,11
-0.228808,11
-0.238019,11
-0.24723,11
-0.260032,11
-0.272834,11
-0.285636,11
-0.298438,11
-0.31124,11
-0.324042,11
-0.336844,11
-0.349646,11
-0.362448,11
-0.37525,11
-0.344912,11
-0.314574,11
-0.284236,11
-0.253898,11
-0.22356,11
-0.193222,11
-0.162884,11
-0.132546,11
-0.102208,11
-0.07187,11
-0.079873,11
-0.087876,11
-0.095879,11
-0.103882,11
-0.111885,11
-0.119888,11
-0.127891,11
-0.135894,11
-0.143897,11
-0.1519,11
-0.1481,11
-0.1443,11
-0.1405,11
-0.1367,11
-0.1329,11
-0.1291,11
-0.1253,11
-0.1215,11
-0.1177,11
-0.1139,11
-0.1015805,11
-0.089261,11
-0.0769415,11
-0.064622,11
-0.0523025,11
-0.039983,11
-0.0276635,11
-0.015344,11
-0.0030245,11
0.009295,11
-0.0275495,11
-0.064394,11
-0.1012385,11
-0.138083,11
-0.1749275,11
-0.211772,11
-0.2486165,11
-0.285461,11
-0.3223055,11
-0.35915,11
-0.344061,11
-0.328972,11
-0.313883,11
-0.298794,11
-0.283705,11
-0.268616,11
-0.253527,11
-0.238438,11
-0.223349,11
-0.20826,11
-0.218486,11
-0.228712,11
-0.238938,11
-0.249164,11
-0.25939,11
-0.269616,11
-0.279842,11
-0.290068,11
-0.300294,11
-0.31052,11
-0.305028,11
-0.299536,11
-0.294044,11
-0.288552,11
-0.28306,11
-0.277568,11
-0.272076,11
-0.266584,11
-0.261092,11
-0.2556,11
-0.237227,11
-0.218854,11
-0.200481,11
-0.182108,11
-0.163735,11
-0.145362,11
-0.126989,11
-0.108616,11
-0.090243,11
-0.07187,11
-0.08881,11
-0.10575,11
-0.12269,11
-0.13963,11
-0.15657,11
-0.17351,11
-0.19045,11
-0.20739,11
-0.22433,11
-0.24127,11
-0.225988,11
-0.210706,11
-0.195424,11
-0.180142,11
-0.16486,11
-0.149578,11
-0.134296,11
-0.119014,11
-0.103732,11
-0.08845,11
-0.0737318,11
-0.0590136,11
-0.0442954,11
-0.0295772,11
-0.014859,11
-0.0001408,11
0.0145774,11
0.0292956,11
0.0440138,11
0.058732,11
0.0497628,11
0.0407936,11
0.0318244,11
0.0228552,11
0.013886,11
0.0049168,11
-0.0040524,11
-0.0130216,11
-0.0219908,11
-0.03096,11
-0.0231985,11
-0.015437,11
-0.0076755,11
8.6E-05,11
0.0078475,11
0.015609,11
0.0233705,11
0.031132,11
0.0388935,11
0.046655,11
0.0429029,11
0.0391508,11
0.0353987,11
0.0316466,11
0.0278945,11
0.0241424,11
0.0203903,11
0.0166382,11
0.0128861,11
0.009134,11
0.0087314,11
0.0083288,11
0.0079262,11
0.0075236,11
0.007121,11
0.0067184,11
0.0063158,11
0.0059132,11
0.0055106,11
0.005108,11
0.0048664,11
0.0046248,11
0.0043832,11
0.0041416,11
0.0039,11
0.0036584,11
0.0034168,11
0.0031752,11
0.0029336,11
0.002692,11
0.0309213,11
0.0591506,11
0.0873799,11
0.1156092,11
0.1438385,11
0.1720678,11
0.2002971,11
0.2285264,11
0.2567557,11
0.284985,11
0.286547,11
0.288109,11
0.289671,11
0.291233,11
0.292795,11
0.294357,11
0.295919,11
0.297481,11
0.299043,11
0.300605,11
0.3123283,11
0.3240516,11
0.3357749,11
0.3474982,11
0.3592215,11
0.3709448,11
0.3826681,11
0.3943914,11
0.4061147,11
0.417838,11
0.3881272,11
0.3584164,11
0.3287056,11
0.2989948,11
0.269284,11
0.2395732,11
0.2098624,11
0.1801516,11
0.1504408,11
0.12073,11
0.12883,11
0.13693,11
0.14503,11
0.15313,11
0.16123,11
0.16933,11
0.17743,11
0.18553,11
0.19363,11
0.20173,11
0.1969956,11
0.1922612,11
0.1875268,11
0.1827924,11
0.178058,11
0.1733236,11
0.1685892,11
0.1638548,11
0.1591204,11
0.154386,11
0.1399413,11
0.1254966,11
0.1110519,11
0.0966072,11
0.0821625,11
0.0677178,11
0.0532731,11
0.0388284,11
0.0243837,11
0.009939,11
0.0443197,11
0.0787004,11
0.1130811,11
0.1474618,11
0.1818425,11
0.2162232,11
0.2506039,11
0.2849846,11
0.3193653,11
0.353746,11
0.3221834,11
0.2906208,11
0.2590582,11
0.2274956,11
0.195933,11
0.1643704,11
0.1328078,11
0.1012452,11
0.0696826,11
0.03812,11
0.0537886,11
0.0694572,11
0.0851258,11
0.1007944,11
0.116463,11
0.1321316,11
0.1478002,11
0.1634688,11
0.1791374,11
0.194806,11
0.1881392,11
0.1814724,11
0.1748056,11
0.1681388,11
0.161472,11
0.1548052,11
0.1481384,11
0.1414716,11
0.1348048,11
0.128138,11
0.1138062,11
0.0994744,11
0.0851426,11
0.0708108,11
0.056479,11
0.0421472,11
0.0278154,11
0.0134836,11
-0.0008482,11
-0.01518,11
0.007445,11
0.03007,11
0.052695,11
0.07532,11
0.097945,11
0.12057,11
0.143195,11
0.16582,11
0.188445,11
0.21107,11
0.181617,11
0.152164,11
0.122711,11
0.093258,11
0.063805,11
0.034352,11
0.004899,11
-0.024554,11
-0.054007,11
-0.08346,11
-0.07916,11
-0.07486,11
-0.07056,11
-0.06626,11
-0.06196,11
-0.05766,11
-0.05336,11
-0.04906,11
-0.04476,11
-0.04046,11
-0.039188,11
-0.037916,11
-0.036644,11
-0.035372,11
-0.0341,11
-0.032828,11
-0.031556,11
-0.030284,11
-0.029012,11
-0.02774,11
-0.027628,11
-0.027516,11
-0.027404,11
-0.027292,11
-0.02718,11
-0.027068,11
-0.026956,11
-0.026844,11
-0.026732,11
-0.02662,11
-0.024703,11
-0.022786,11
-0.020869,11
-0.018952,11
-0.017035,11
-0.015118,11
-0.013201,11
-0.011284,11
-0.009367,11
-0.00745,11
-0.0041169,11
-0.0007838,11
0.0025493,11
0.0058824,11
0.0092155,11
0.0125486,11
0.0158817,11
0.0192148,11
0.0225479,11
0.025881,11
0.0014519,11
-0.0229772,11
-0.0474063,11
-0.0718354,11
-0.0962645,11
-0.1206936,11
-0.1451227,11
-0.1695518,11
-0.1939809,11
-0.21841,11
-0.21915,11
-0.21989,11
-0.22063,11
-0.22137,11
-0.22211,11
-0.22285,11
-0.22359,11
-0.22433,11
-0.22507,11
-0.22581,11
-0.221591,11
-0.217372,11
-0.213153,11
-0.208934,11
-0.204715,11
-0.200496,11
-0.196277,11
-0.192058,11
-0.187839,11
-0.18362,11
-0.188677,11
-0.193734,11
-0.198791,11
-0.203848,11
-0.208905,11
-0.213962,11
-0.219019,11
-0.224076,11
-0.229133,11
-0.23419,11
-0.212676,11
-0.191162,11
-0.169648,11
-0.148134,11
-0.12662,11
-0.105106,11
-0.083592,11
-0.062078,11
-0.040564,11
-0.01905,11
-0.031465,11
-0.04388,11
-0.056295,11
-0.06871,11
-0.081125,11
-0.09354,11
-0.105955,11
-0.11837,11
-0.130785,11
-0.1432,11
-0.141187,11
-0.139174,11
-0.137161,11
-0.135148,11
-0.133135,11
-0.131122,11
-0.129109,11
-0.127096,11
-0.125083,11
-0.12307,11
-0.12146,11
-0.11985,11
-0.11824,11
-0.11663,11
-0.11502,11
-0.11341,11
-0.1118,11
-0.11019,11
-0.10858,11
-0.10697,11
-0.13631,11
-0.16565,11
-0.19499,11
-0.22433,11
-0.25367,11
-0.28301,11
-0.31235,11
-0.34169,11
-0.37103,11
-0.40037,11
-0.373204,11
-0.346038,11
-0.318872,11
-0.291706,11
-0.26454,11
-0.237374,11
-0.210208,11
-0.183042,11
-0.155876,11
-0.12871,11
-0.14082,11
-0.15293,11
-0.16504,11
-0.17715,11
-0.18926,11
-0.20137,11
-0.21348,11
-0.22559,11
-0.2377,11
-0.24981,11
-0.239858,11
-0.229906,11
-0.219954,11
-0.210002,11
-0.20005,11
-0.190098,11
-0.180146,11
-0.170194,11
-0.160242,11
-0.15029,11
-0.140564,11
-0.130838,11
-0.121112,11
-0.111386,11
-0.10166,11
-0.091934,11
-0.082208,11
-0.072482,11
-0.062756,11
-0.05303,11
-0.0469747,11
-0.0409194,11
-0.0348641,11
-0.0288088,11
-0.0227535,11
-0.0166982,11
-0.0106429,11
-0.0045876,11
0.0014677,11
0.007523,11
0.0196489,11
0.0317748,11
0.0439007,11
0.0560266,11
0.0681525,11
0.0802784,11
0.0924043,11
0.1045302,11
0.1166561,11
0.128782,11
0.118186,11
0.10759,11
0.096994,11
0.086398,11
0.075802,11
0.065206,11
0.05461,11
0.044014,11
0.033418,11
0.022822,11
0.0210345,11
0.019247,11
0.0174595,11
0.015672,11
0.0138845,11
0.012097,11
0.0103095,11
0.008522,11
0.0067345,11
0.004947,11
0.0023543,11
-0.0002384,11
-0.0028311,11
-0.0054238,11
-0.0080165,11
-0.0106092,11
-0.0132019,11
-0.0157946,11
-0.0183873,11
-0.02098,11
-0.0187255,11
-0.016471,11
-0.0142165,11
-0.011962,11
-0.0097075,11
-0.007453,11
-0.0051985,11
-0.002944,11
-0.0006895,11
0.001565,11
0.0102447,11
0.0189244,11
0.0276041,11
0.0362838,11
0.0449635,11
0.0536432,11
0.0623229,11
0.0710026,11
0.0796823,11
0.088362,11
0.122453,11
0.156544,11
0.190635,11
0.224726,11
0.258817,11
0.292908,11
0.326999,11
0.36109,11
0.395181,11
0.429272,11
0.4202057,11
0.4111394,11
0.4020731,11
0.3930068,11
0.3839405,11
0.3748742,11
0.3658079,11
0.3567416,11
0.3476753,11
0.338609,11
0.3306539,11
0.3226988,11
0.3147437,11
0.3067886,11
0.2988335,11
0.2908784,11
0.2829233,11
0.2749682,11
0.2670131,11
0.259058,11
0.2631644,11
0.2672708,11
0.2713772,11
0.2754836,11
0.27959,11
0.2836964,11
0.2878028,11
0.2919092,11
0.2960156,11
0.300122,11
0.2756609,11
0.2511998,11
0.2267387,11
0.2022776,11
0.1778165,11
0.1533554,11
0.1288943,11
0.1044332,11
0.0799721,11
0.055511,11
0.0728544,11
0.0901978,11
0.1075412,11
0.1248846,11
0.142228,11
0.1595714,11
0.1769148,11
0.1942582,11
0.2116016,11
0.228945,11
0.2238885,11
0.218832,11
0.2137755,11
0.208719,11
0.2036625,11
0.198606,11
0.1935495,11
0.188493,11
0.1834365,11
0.17838,11
0.17838,11
0.17838,11
0.17838,11
0.17838,11
0.17838,11
0.17838,11
0.17838,11
0.17838,11
0.17838,11
0.17838,11
0.1909085,11
0.203437,11
0.2159655,11
0.228494,11
0.2410225,11
0.253551,11
0.2660795,11
0.278608,11
0.2911365,11
0.303665,11
0.2759832,11
0.2483014,11
0.2206196,11
0.1929378,11
0.165256,11
0.1375742,11
0.1098924,11
0.0822106,11
0.0545288,11
0.026847,11
0.0396814,11
0.0525158,11
0.0653502,11
0.0781846,11
0.091019,11
0.1038534,11
0.1166878,11
0.1295222,11
0.1423566,11
0.155191,11
0.1497481,11
0.1443052,11
0.1388623,11
0.1334194,11
0.1279765,11
0.1225336,11
0.1170907,11
0.1116478,11
0.1062049,11
0.100762,11
0.0897148,11
0.0786676,11
0.0676204,11
0.0565732,11
0.045526,11
0.0344788,11
0.0234316,11
0.0123844,11
0.0013372,11
-0.00971,11
-0.010386,11
-0.011062,11
-0.011738,11
-0.012414,11
-0.01309,11
-0.013766,11
-0.014442,11
-0.015118,11
-0.015794,11
-0.01647,11
-0.022251,11
-0.028032,11
-0.033813,11
-0.039594,11
-0.045375,11
-0.051156,11
-0.056937,11
-0.062718,11
-0.068499,11
-0.07428,11
-0.070222,11
-0.066164,11
-0.062106,11
-0.058048,11
-0.05399,11
-0.049932,11
-0.045874,11
-0.041816,11
-0.037758,11
-0.0337,11
-0.0294166,11
-0.0251332,11
-0.0208498,11
-0.0165664,11
-0.012283,11
-0.0079996,11
-0.0037162,11
0.0005672,11
0.0048506,11
0.009134,11
0.0062356,11
0.0033372,11
0.0004388,11
-0.0024596,11
-0.005358,11
-0.0082564,11
-0.0111548,11
-0.0140532,11
-0.0169516,11
-0.01985,11
-0.0177568,11
-0.0156636,11
-0.0135704,11
-0.0114772,11
-0.009384,11
-0.0072908,11
-0.0051976,11
-0.0031044,11
-0.0010112,11
0.001082,11
-0.0145382,11
-0.0301584,11
-0.0457786,11
-0.0613988,11
-0.077019,11
-0.0926392,11
-0.1082594,11
-0.1238796,11
-0.1394998,11
-0.15512,11
-0.175764,11
-0.196408,11
-0.217052,11
-0.237696,11
-0.25834,11
-0.278984,11
-0.299628,11
-0.320272,11
-0.340916,11
-0.36156,11
-0.341657,11
-0.321754,11
-0.301851,11
-0.281948,11
-0.262045,11
-0.242142,11
-0.222239,11
-0.202336,11
-0.182433,11
-0.16253,11
-0.15348,11
-0.14443,11
-0.13538,11
-0.12633,11
-0.11728,11
-0.10823,11
-0.09918,11
-0.09013,11
-0.08108,11
-0.07203,11
-0.081692,11
-0.091354,11
-0.101016,11
-0.110678,11
-0.12034,11
-0.130002,11
-0.139664,11
-0.149326,11
-0.158988,11
-0.16865,11
-0.1506301,11
-0.1326102,11
-0.1145903,11
-0.0965704,11
-0.0785505,11
-0.0605306,11
-0.0425107,11
-0.0244908,11
-0.0064709,11
0.011549,11
-0.0255689,11
-0.0626868,11
-0.0998047,11
-0.1369226,11
-0.1740405,11
-0.2111584,11
-0.2482763,11
-0.2853942,11
-0.3225121,11
-0.35963,11
-0.357843,11
-0.356056,11
-0.354269,11
-0.352482,11
-0.350695,11
-0.348908,11
-0.347121,11
